ID,ENTRYTYPE,title,author,year,journal,booktitle,volume,number,pages,doi,url,file,abstract,aggregating_evidence,cited_by,colrev.dblp.dblp_key,colrev_pdf_id,colrev_status,curation_id,dblp_key,fulltext,goal_rowe,language,link,literature_review,lr_type_pare_et_al,note,r_agenda,r_agenda_levels,r_gaps,screening_criteria,synthesis,theory_building,topic
AasiRusuHan2014,inproceedings,The Influence of Culture on IT Governance - A Literature Review,"Aasi, Parisa and Rusu, Lazar and Han, Shengnan",2014,,Hawaii International Conference on System Sciences,,,,10.1109/HICSS.2014.546,https://ieeexplore.ieee.org/document/6759148,,,,12,https://dblp.org/rec/conf/hicss/AasiRH14,,rev_synthesized,https://github.com/CoLRev-curations/hawaii-international-conference-on-system-sciences#AasiRusuHan2014,,,,eng,,,,,,,,,,,
Abbas2014,article,The regulatory considerations and ethical dilemmas of location-based services (LBS),"Abbas, Roba and Michael, Katina and Michael, MG",2014,Information Technology & People,,27,1,2--20,10.1108/ITP-12-2012-0156,,,"<jats:title content-type=""abstract-heading"">Purpose – The purpose of this paper is to comprehensively review existing literature regarding the ethical dilemmas posed by location-based services (LBS) and their impact upon the adoption of a regulatory framework. <jats:title content-type=""abstract-heading"">Design/methodology/approach – This paper employs a qualitative approach for reviewing LBS scholarship, in which existing knowledge is presented in narrative form and is critiqued thematically. <jats:title content-type=""abstract-heading"">Findings – In reviewing contemporary scholarship, the value of technical, social and environmental considerations is demonstrated. This encourages an understanding of the complexities, multiple interests and contextual factors that must be incorporated into the examination of LBS regulation in any social context. <jats:title content-type=""abstract-heading"">Practical implications – Approximately 85 per cent of handsets now have a global positioning system chipset on board. LBS affect a great number of mobile users. This research will create awareness among users of the potential benefits and harms that can come from the (mis)use of the technology. It will also promote an awareness of the complexities surrounding LBS regulation, drawing attention to the importance of collaboration and involvement of LBS stakeholders in the regulatory process. <jats:title content-type=""abstract-heading"">Originality/value – Defines the ethical dilemmas of LBS that influence regulatory choices through a review of applicable literature and proposes that future research simultaneously address technical, social and environmental factors relevant to LBS.",False,42,,,rev_synthesized,,,,Describing,en,,,narrative-review,,False,none,False,,True,True,Other Domain
AbedinMendozaKarunasekera2020,inproceedings,Credible vs Fake - A Literature Review on Differentiating Online Reviews based on Credibility,"Abedin, Ehsan and Mendoza, Antonette and Karunasekera, Shanika",2020,,International Conference on Information Systems,,,,,https://aisel.aisnet.org/icis2020/social_media/social_media/2,,,,,https://dblp.org/rec/conf/icis/AbedinMK20,,rev_synthesized,https://github.com/CoLRev-curations/international-conference-on-information-systems#AbedinMendozaKarunasekera2020,,,,eng,,,,,,,,,,,
AbooleetKinnett2023,inproceedings,A Systematic Review of Blockchain-based Loyalty Programs,"Abooleet, Saeed and Kinnett, Seth",2023,,Hawaii International Conference on System Sciences,,,,,https://hdl.handle.net/10125/103284,data/pdfs/2023/AbooleetKinnett2023.pdf,,,,https://dblp.org/rec/conf/hicss/AbooleetK23,cpid2:fffffffffefffffffffffffffffffffffe00007ffffffffffe0ff07fffffffffff1f800ff001000ff001000ff001000ff001000ff019800ff001800ff001800ff001800ff009000ff03f800ff01f800ff0ff000ff001000ff001800ff001000ff001800ff001800ff001000ff001000ffd41800ff1fffffff0fc3fffffffffff,rev_synthesized,,https://dblp.org/rec/conf/hicss/AbooleetK23,,,eng,,,,,,,,,,,
Aboulola2017,inproceedings,A Literature Review of Spatial Location Analysis for Retail Site Selection,"Aboulola, Omar Ibrahim",2017,,Americas Conference on Information Systems,,,,,https://aisel.aisnet.org/amcis2017/DataScience/Presentations/9,,,,,https://dblp.org/rec/conf/amcis/Aboulola17,,rev_synthesized,https://github.com/CoLRev-curations/americas-conference-on-information-systems#Aboulola2017,,,,eng,,,,,,,,,,,
AbouzahraGuenterTan2015a,inproceedings,Integrating Information Systems and Healthcare Research to Understand Physicians' use of Health Information Systems - a Literature Review,"Abouzahra, Mohamed and Guenter, Dale and Tan, Joseph",2015,,International Conference on Information Systems,,,,,http://aisel.aisnet.org/icis2015/proceedings/IShealth/12,,,,,https://dblp.org/rec/conf/icis/AbouzahraGT15,,rev_synthesized,https://github.com/CoLRev-curations/international-conference-on-information-systems#AbouzahraGuenterTan2015a,,,,eng,,,,,,,,,,,
AbouzahraTan2014,inproceedings,The Effect of Community Type on Knowledge Sharing Incentives in Online Communities - A Meta-analysis,"Abouzahra, Mohamed and Tan, Joseph",2014,,Hawaii International Conference on System Sciences,,,,10.1109/HICSS.2014.224,https://ieeexplore.ieee.org/document/6758821/,data/pdfs/2014/AbouzahraTan2014.pdf,,,,https://dblp.org/rec/conf/hicss/AbouzahraT14,cpid2:fffffffffffffffffffffffff800003fff8007ffffffffffff07e0ffffffffffff8f1f7ffc0380fffc01003ffc01007ffc0100fffc01003ffc01007ffc01807ffc01003ffc01003ffc03003ffc03003ffc7f003ffc3f007ffc01007ffc01003ffc01007ffc01003ffc07007ffc01007ffc01003fffffffefe0ffffe7ffffffff,rev_synthesized,,,,,eng,,,,,,,,,,,
AbramovaBaumannKrasnovaEtAl2016,inproceedings,Gender Differences in Online Dating - What Do We Know So Far? A Systematic Literature Review,"Abramova, Olga and Baumann, Annika and Krasnova, Hanna and Buxmann, Peter",2016,,Hawaii International Conference on System Sciences,,,,10.1109/HICSS.2016.481,https://ieeexplore.ieee.org/document/7427665,,,,50,https://dblp.org/rec/conf/hicss/AbramovaBKB16,,rev_synthesized,https://github.com/CoLRev-curations/hawaii-international-conference-on-system-sciences#AbramovaBaumannKrasnovaEtAl2016,,,,eng,,,,,,,,,,,
AbramovaVoronin2025,inproceedings,Synthesizing the ambivalent effects of algorithmic management on workers' well-being,"Abramova, Olga and Voronin, Georg",2025,,European Conference on Information Systems,,,,,https://aisel.aisnet.org/ecis2025/algo_mgmt/algo_mgmt/4,data/pdfs/2025/Algorithmic Mgmt and Decision Making/AbramovaVoronin2025.pdf,,,,https://dblp.org/rec/conf/ecis/AbramovaV25,,rev_synthesized,,,,,eng,,,,,,,,,,,
AbramovaWagnerKrasnovaEtAl2017,inproceedings,Understanding Self-Disclosure on Social Networking Sites - A Literature Review,"Abramova, Olga and Wagner, Amina and Krasnova, Hanna and Buxmann, Peter",2017,,Americas Conference on Information Systems,,,,,https://aisel.aisnet.org/amcis2017/AdoptionIT/Presentations/30,,,,,https://dblp.org/rec/conf/amcis/AbramovaWKB17,,rev_synthesized,https://github.com/CoLRev-curations/americas-conference-on-information-systems#AbramovaWagnerKrasnovaEtAl2017,,,,eng,,,,,,,,,,,
AdemajChowdhurySarkerEtAl2025,inproceedings,The role of narrative responsibility within hybrid intelligence,"Ademaj, Gemza and Chowdhury, Avijit and Sarker, Saonee and Keller, Christina",2025,,European Conference on Information Systems,,,,,https://aisel.aisnet.org/ecis2025/human_ai/human_ai/14,data/pdfs/2025/Human-AI Collaboration/AdemajChowdhurySarkerEtAl2025.pdf,,,,https://dblp.org/rec/conf/ecis/AdemajCSK25,,rev_synthesized,,,,,eng,,,,,,,,,,,
AdemajSaenyi2022a,inproceedings,Systematic literature Review: Data Standardization in Health Information Systems,"Ademaj, Gemza and Saenyi, Betty",2022,,European Conference on Information Systems,,,,,https://aisel.aisnet.org/ecis2022_rp/138,data/pdfs/2022/rp/AdemajSaenyi2022a.pdf,,,,https://dblp.org/rec/conf/ecis/AdemajS22,,rev_synthesized,,https://dblp.org/rec/conf/ecis/AdemajS22,,,eng,,,,,,,,,,,
